AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM14 Day7 AL Animal5,7,AL,5,CMFLIM14,0.61420435,0.643136,3.9052395,4661.821538,0.500661152,0.6916385,4.1582965,7049.978163,0.62427846,0.6803285,4.552979,3693.653202,0.739892795,0.596628,2.8429725,4318.655473,#N/A,#N/A,#N/A,#N/A,0.609842742,0.6113425,3.414702,4897.365214
CMFLIM14 Day7 AL Animal6,7,AL,6,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.683858939,0.6135255,3.0689895,4321.94942,#N/A,#N/A,#N/A,#N/A,0.757520511,0.536754,2.9461385,4653.117508,0.668190839,0.6444975,3.731914,5066.379218,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal7,7,AL,7,CMFLIM14,0.722842395,0.530687,2.730173,13463.09312,0.712175846,0.5335235,2.7570925,4486.662809,0.790486829,0.4961035,2.5601195,13407.00064,0.727505702,0.6050715,2.784613,4063.363109,0.746238041,0.5564125,2.7786805,5723.80099,0.649099728,0.634701,3.364378,7606.567252
CMFLIM10 Day7 AL Animal8,7,AL,8,CMFLIM10,0.51084634,0.9008115,4.20122,12449.56251,0.430727154,1.4285235,6.22886,9964.381421,0.676840203,0.7726505,3.579077,3406.56948,0.648577954,0.6395755,3.276191,7809.638382,0.416410832,0.7288385,4.5176195,8828.994291,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal8,7,AL,8,CMFLIM14,0.697669079,0.52814,2.810859,9792.211437,0.723857384,0.5195375,2.7508775,6526.369995,0.743287155,0.527502,2.461159,6288.580702,0.685985135,0.6764695,2.807405,5364.664296,0.709834794,0.591477,2.8008825,7061.36659,0.640590814,0.6621165,3.081514,4112.524462
CMFLIM14 Day7 AL Animal9,7,AL,9,CMFLIM14,0.51679297,0.5848825,4.3695005,5146.321653,0.674835918,0.6244225,3.0938805,9176.359947,0.722057614,0.584371,3.3565915,3217.08987,0.736731869,0.5848705,2.7181255,7056.102837,0.716623563,0.592917,2.7472485,6575.26811,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal1,7,DR,1,CMFLIM10,0.650674145,0.583028,2.730628,6290.821724,0.581233546,0.5822565,2.7892335,7438.209477,0.682389593,0.6033305,2.8049035,4129.276854,0.71045304,0.578346,2.669681,7390.650821,0.731515353,0.5816135,2.697935,6771.303317,0.691204398,0.5761075,2.898256,2952.916651
CMFLIM14 Day7 DR Animal1,7,DR,1,CMFLIM14,0.695856231,0.5916645,2.996253,5059.043923,0.703733355,0.584696,3.087665,7176.842207,0.670012572,0.5791935,2.8585245,1880.786573,0.721329066,0.6011905,3.0603675,3750.734312,0.712820793,0.632648,3.0035925,6255.651051,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal2,7,DR,2,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.615812898,0.723628,3.875912,7344.777277,#N/A,#N/A,#N/A,#N/A,0.704294182,0.574443,2.909561,2842.189335,0.617913287,0.68243,3.608593,6566.883363,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal3,7,DR,3,CMFLIM10,0.713454154,0.51502,2.7642505,6264.046938,0.663702317,0.5292945,2.804205,13236.73794,0.759622297,0.5601955,2.7018865,3744.81757,0.739025349,0.64358,3.1474965,5622.719731,0.691901559,0.6517755,2.7430035,7076.551416,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal3,7,DR,3,CMFLIM14,0.645930722,0.5688545,2.9571285,5990.06985,0.648813927,0.589542,2.9956305,8844.915105,0.671363818,0.5220645,2.652955,2312.554293,0.674148633,0.567946,2.86369,4161.500315,0.706896802,0.649227,3.09675,8704.564303,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal4,7,DR,4,CMFLIM10,0.542078688,0.7366825,3.8044475,16895.44186,0.551775056,0.6717985,4.0878045,7975.333455,0.715052616,0.644385,3.3192,6414.606051,0.647088061,0.7476895,3.8550315,8526.132267,0.676934669,0.698067,3.2400895,8789.096363,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal4,7,DR,4,CMFLIM14,0.696298578,0.553173,2.966211,15988.23361,0.674192664,0.5408935,2.775321,11848.58045,0.74077295,0.506403,2.556109,5518.393765,0.749419302,0.6650345,2.822463,7446.749462,0.751724932,0.5565505,2.4927055,10174.52247,0.656599973,0.541783,2.7885345,5546.001661
CMFLIM10 Day7 DR Animal5,7,DR,5,CMFLIM10,0.568785031,0.619309,3.8664725,7574.629537,0.604574912,0.6964805,3.5022525,7394.664858,0.622450036,0.599767,3.5899985,3532.141719,0.656420406,0.611053,3.369486,4407.211432,0.697986159,0.5527955,3.043102,3631.498119,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal5,7,DR,5,CMFLIM14,0.64280932,0.6082935,3.1036975,7207.705877,0.773327202,0.634233,3.249703,5744.902118,0.759072113,0.616759,2.67284,4511.59628,0.793268142,0.65806,3.0589575,2355.924985,0.811127181,0.5577995,2.730391,3480.033782,0.733261481,0.578662,3.3279145,3025.668552
CMFLIM10 Day7 DR Animal6,7,DR,6,CMFLIM10,0.501038399,0.6198525,3.77154,11140.87809,0.516296272,0.505462,3.2510085,5668.538901,0.560119166,0.591248,3.9397705,8595.652433,#N/A,#N/A,#N/A,#N/A,0.603779278,0.653305,4.0621015,4888.362854,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal6,7,DR,6,CMFLIM14,0.649262342,0.6517435,3.165059,4851.651561,0.684542925,0.5884625,3.0796335,5589.292587,0.757533879,0.569898,2.6522735,4067.440637,0.760655518,0.681309,3.2523165,4253.072486,0.773911599,0.588646,2.989224,4714.564343,0.737774916,0.5489165,2.926681,5137.16981
CMFLIM10 Day7 DR Animal7,7,DR,7,CMFLIM10,0.525280263,0.586651,3.9832335,10359.52041,0.585751287,0.5863215,3.4500185,8974.844834,0.702143043,0.5713595,2.983382,5874.619994,0.664096205,0.64926,3.2677595,8906.819713,0.666477668,0.637628,2.9638865,9822.131983,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal7,7,DR,7,CMFLIM14,0.686881096,0.6548765,3.377083,7427.497286,0.678996216,0.584134,2.9633465,4365.581255,0.768120224,0.579612,2.7918915,4211.565696,0.762900865,0.628702,2.8353935,3913.56056,0.770013978,0.5855745,2.668413,5716.75937,0.689249827,0.61844,2.96967,4902.090005
CMFLIM10 Day7 DR Animal8,7,DR,8,CMFLIM10,0.558200598,0.5764575,3.228614,5706.628719,0.553435473,0.600186,3.8402825,5656.656121,0.769958314,0.533853,2.652863,3499.554614,0.541034401,0.529177,3.609517,5001.120655,0.679187031,0.707828,3.5500285,5698.138645,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal8,7,DR,8,CMFLIM14,0.690401001,0.5957985,3.1343515,11934.16211,0.718402054,0.57381,2.939365,4146.370523,0.788072714,0.58839,2.7811975,9538.924002,0.747463899,0.6131145,2.6905205,3088.800375,0.724999281,0.590319,2.8331835,7183.938485,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal9,7,DR,9,CMFLIM14,0.636617228,0.559408,3.0009665,8172.666998,0.685607344,0.6187135,3.027885,4173.101577,0.739572768,0.5928865,2.709966,4240.384643,0.741097686,0.628155,2.863039,6606.806428,0.682321828,0.6058875,2.67198,5192.074427,0.636595069,0.574297,2.8090985,3513.285995
CMFLIM10 Day9 AL Animal10,9,AL,10,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.512186394,0.707218,4.6902775,1522875,0.727142142,0.549894,3.2035705,4355.361598,0.735020205,0.5588905,3.13481,736166.6667,0.479833037,0.6842715,4.694569,1355600.017,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 AL Animal11,9,AL,11,CMFLIM10,0.494680161,0.677447,4.847652,12070.94709,0.600220808,0.7634375,3.5755045,6995.735987,#N/A,#N/A,#N/A,#N/A,0.74254092,0.6040705,2.958977,3304.079212,0.515229122,0.573247,3.652812,9415.264023,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal11,9,AL,11,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.657163845,0.5799475,2.9488245,3752.831921,0.67188585,0.6249295,3.705931,6530.079236,0.748449273,0.6028575,2.7325105,5542.406512,0.668114454,0.640675,2.971435,6482.685401,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 AL Animal11,9,AL,11,CMFLIM14,0.519961325,0.6368645,3.6833845,16256.60633,0.667797054,0.5756215,3.145113,8659.608255,0.687140737,0.564686,3.4458695,10257.26076,0.736459292,0.631917,3.1511615,7738.646865,0.664463868,0.5523565,3.1786565,11262.55746,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal12,9,AL,12,CMFLIM12,0.687176208,0.5429355,2.733931,9747.529073,0.715976487,0.5414885,2.9067425,9132.064117,0.770746936,0.5686485,2.591148,5735.897491,0.734284439,0.592122,2.6843935,7401.689583,0.728478918,0.573496,2.67242,10957.76374,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 AL Animal13,9,AL,13,CMFLIM14,0.56664402,0.5990685,3.735745,12061.3787,0.632127138,0.635357,3.0983455,10052.53872,0.759579627,0.566382,2.966976,7274.361483,0.744642345,0.5848025,2.7743035,12635.40324,0.680902433,0.616288,3.134144,10888.48881,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 AL Animal1,9,AL,1,CMFLIM10,0.782774156,0.502833,2.844323,8599.644531,0.795841437,0.4645735,2.739584,8523.110812,0.721497307,0.5207625,2.3872515,7314.707671,0.695497916,0.6471865,2.836505,8768.58507,0.676392111,0.6247495,2.930606,8389.816287,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal1,9,AL,1,CMFLIM12,0.762423278,0.4924165,2.751283,10775.46862,0.759675564,0.4961415,2.672229,9839.204545,0.789936805,0.5407505,2.5470335,8169.378248,0.780424568,0.5189115,2.4627845,12328.55596,0.763290367,0.505484,2.529836,14471.95081,0.643963512,0.5805745,3.1616835,12707.05398
CMFLIM10 Day9 AL Animal2,9,AL,2,CMFLIM10,0.724319421,0.5360915,2.853453,10598.21558,0.706742077,0.54643,2.7942385,8319.360717,0.77591691,0.535764,2.7390555,6173.832924,0.786832702,0.535184,2.574179,9962.505454,0.735023356,0.550431,2.632423,8837.952191,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal2,9,AL,2,CMFLIM12,0.55842554,0.7727285,4.7451075,12633.95552,0.587029708,0.7246445,4.147011,17113.53982,0.758707259,0.5214095,2.8728835,6289.490721,0.744282034,0.6311435,3.191255,8124.673271,0.624224918,0.539506,3.7709955,4298.902211,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal3,9,AL,3,CMFLIM12,0.698015343,0.6091665,2.929837,10962.55525,0.675402716,0.4898795,2.5968975,3931.802933,0.820477668,0.4966405,2.5004565,8683.248797,0.802383193,0.5236315,2.54874,7049.493813,0.717910559,0.598669,2.7307755,8363.684378,0.538496685,0.684346,5.2936685,3953.007519
CMFLIM12 Day9 AL Animal4,9,AL,4,CMFLIM12,0.686272823,0.5585535,3.265169,4211.258623,0.608022474,0.7396,3.0600415,13443.39405,0.780078132,0.5495895,2.6199165,4187.357474,0.813974558,0.5505945,2.7746325,13282.94047,#N/A,#N/A,#N/A,#N/A,0.699925144,0.586987,3.3835485,8129.006969
CMFLIM14 Day9 AL Animal4,9,AL,4,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.589073693,0.680061,4.640968,17577.18155,0.398198981,0.7547225,4.8054285,9943.769712,0.454038693,0.6157495,4.472159,4966.412177,0.48290605,0.586192,4.207822,14111.56667,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 AL Animal5,9,AL,5,CMFLIM10,0.692506638,0.551711,2.8438585,5802.300443,0.719735182,0.5444185,2.7032425,4688.531184,0.779197736,0.5206065,2.6510385,2786.964599,0.759986983,0.5792135,2.8010295,5012.601363,0.76011867,0.518278,2.602072,10200.72886,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 AL Animal5,9,AL,5,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.448740563,0.5805275,4.5255945,6687.719264,0.557332159,0.545418,4.315646,16578.77998,0.57198147,0.545621,4.089179,6869.580851,0.588462443,0.605018,4.099035,13819.20612,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 AL Animal6,9,AL,6,CMFLIM10,0.710876295,0.5446075,2.707153,11669.15086,0.666063955,0.535005,2.804393,8393.267304,0.727813248,0.613682,2.6010725,3831.527664,0.727871369,0.7201955,2.9588905,8916.097828,0.711084119,0.679887,2.8089235,7669.822377,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal6,9,AL,6,CMFLIM12,0.642978614,0.637992,3.452194,7842.6899,0.654265759,0.611627,3.2511235,8756.738295,0.785065839,0.5281435,2.6422085,7113.625785,0.755155945,0.588008,2.7229075,11012.13982,0.710293001,0.5756395,2.731265,8229.207681,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 AL Animal6,9,AL,6,CMFLIM14,0.578936893,0.8773655,4.056191,14367.38509,0.558896108,0.5627255,3.6360205,7223.212249,0.659312852,0.5498065,3.2163575,6901.037847,0.659084968,0.569381,3.2760465,2803.929401,0.628561914,0.539559,3.187796,8081.29434,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal7,9,AL,7,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.654603294,0.5767025,3.1298265,3008.220646,0.728237888,0.531363,3.615935,3141.809866,0.75627065,0.568591,2.669514,3037.366518,0.694247999,0.624472,3.0819705,3870.322896,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal8,9,AL,8,CMFLIM12,0.661399088,0.5865675,3.134218,9724.977906,0.705031076,0.526657,2.8443015,4124.660049,0.748178952,0.5449065,2.72316,6945.557033,0.745704629,0.638132,2.712856,5266.558871,0.703832978,0.587573,2.85994,4796.186035,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 AL Animal8,9,AL,8,CMFLIM14,0.541521967,0.7443345,4.230617,16103.84738,0.528914936,0.746663,3.536615,7610.692058,0.603424342,0.6747375,4.400845,8923.108453,0.778744978,0.6069165,2.985489,7077.971853,0.623179759,0.630315,3.2980665,5158.131177,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 AL Animal9,9,AL,9,CMFLIM10,0.666169224,0.572077,3.050305,12399.7355,0.660263853,0.6091665,3.035727,8606.002222,0.762099776,0.579486,3.104173,7471.544478,0.791015198,0.54011,2.5609845,5609.575132,0.650025693,0.4874625,3.188675,6109.364567,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 AL Animal9,9,AL,9,CMFLIM12,0.688564083,0.6056815,2.922247,2507.184143,0.722056125,0.524175,2.8154885,5206.04296,0.764429837,0.562158,2.6458795,4152.338388,0.757815918,0.5424255,2.5508405,8945.811473,0.759794064,0.5350135,2.5222385,8212.695464,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal10,9,DR,10,CMFLIM10,0.6928045,0.570017,2.8695455,9503.594392,0.664678523,0.533199,2.784084,5175.908672,0.743811423,0.606108,2.648333,4845.842405,0.707134858,0.6077245,2.7684465,1649.59645,0.663028997,0.6158645,2.5859805,4620.65361,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal11,9,DR,11,CMFLIM10,0.66284766,0.6301835,3.195472,4501.308773,0.656717704,0.635469,2.9654095,264.0404597,0.689007812,0.561274,3.0183215,3035.708596,0.726609463,0.6034815,2.827788,177.8162081,0.698411316,0.6709265,3.1587115,317.1356678,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal1,9,DR,1,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.714086033,0.533151,2.9448715,8660.951714,#N/A,#N/A,#N/A,#N/A,0.696720911,0.6125865,3.212379,5002.136269,0.69208064,0.5768175,3.1065075,5287.868019,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal1,9,DR,1,CMFLIM12,0.712137476,0.568229,2.991418,5656.057714,0.702922609,0.514582,2.7892215,5282.910453,0.734242131,0.744863,3.080566,3523.768743,0.733999922,0.629342,2.690025,3692.366246,0.762296103,0.5375925,2.376237,7510.399941,0.606343392,0.6344675,2.9523985,4598.375474
CMFLIM14 Day9 DR Animal1,9,DR,1,CMFLIM14,0.713413415,0.5926435,2.894458,15338.99814,0.722468046,0.5969955,3.1167125,10780.40976,0.711513759,0.5491105,2.579277,11949.07871,0.725615051,0.6163,2.74863,10326.52502,0.784655249,0.549785,2.552311,13335.59008,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal2,9,DR,2,CMFLIM10,0.662902592,0.6040425,3.0587915,5359.765051,0.685023399,0.6052745,3.1592255,9165.285184,0.759793565,0.6118945,2.829286,3263.443124,0.732406432,0.57849,2.987204,8599.59037,0.730876752,0.590763,2.980443,6909.792303,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal2,9,DR,2,CMFLIM12,0.719714326,0.5573235,2.750534,10434.7023,0.656085274,0.5578575,2.68564,5285.554929,0.715223785,0.575677,2.723395,17758.59883,0.719114974,0.6562225,2.761561,5512.301038,0.727602673,0.5303865,2.3832165,7281.671511,0.64892535,0.686285,3.3266255,7895.424837
CMFLIM14 Day9 DR Animal2,9,DR,2,CMFLIM14,0.681585319,0.851851,3.6552075,14042.47938,0.646949828,0.6329845,2.8957,9991.36782,0.714696993,0.7148955,3.144772,4310.426173,0.727600069,0.671013,2.935276,7285.438738,0.70380136,0.603873,2.532922,7970.498562,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal3,9,DR,3,CMFLIM10,0.622562049,0.6514615,2.917911,2953.670304,0.625096043,0.6000855,2.9469745,11042.1828,0.706675544,0.5201075,2.6535885,7201.249607,0.715065726,0.5745235,2.778923,3169.199398,0.6033789,0.6354275,2.5200105,7284.536433,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal3,9,DR,3,CMFLIM12,0.614253197,0.59641,2.9488585,1444.13392,0.764927407,0.6779285,2.961711,7585.636576,0.749159892,0.588044,2.562396,4794.13138,0.692703874,0.535387,2.678781,6751.302644,0.751534205,0.567484,2.5181155,7769.408911,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day9 DR Animal3,9,DR,3,CMFLIM14,0.699241784,0.569857,2.855998,10832.89603,0.635931642,0.589004,2.938053,10952.27418,0.752339648,0.5648395,2.573471,8034.02349,0.734734994,0.597618,2.7586485,6746.023741,0.72544021,0.6144895,2.7151975,12322.59923,0.705921865,0.587241,3.020046,16089.22573
CMFLIM10 Day9 DR Animal4,9,DR,4,CMFLIM10,0.652996723,0.6861945,3.1805665,7095.77971,0.650937187,0.621742,3.226746,5510.20903,0.691400951,0.4977005,2.74638,6714.898971,0.703468695,0.638344,3.1440725,4266.692614,0.753309468,0.6379115,3.0531345,11711.39652,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal4,9,DR,4,CMFLIM12,0.676225074,0.588964,2.9129175,7460.464311,0.674146864,0.55096,2.7590515,4978.862788,0.728503198,0.6993065,2.9221635,3111.397214,0.721647987,0.6558255,2.868354,2551.703446,0.759607208,0.617398,2.5987445,5141.877178,0.684222924,0.5658425,2.85917,3767.931619
CMFLIM14 Day9 DR Animal4,9,DR,4,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.647149055,0.649609,3.4492345,7571.961564,#N/A,#N/A,#N/A,#N/A,0.722377653,0.6795435,3.719583,5581.695332,0.689653584,0.621201,3.1277375,5094.035344,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day9 DR Animal5,9,DR,5,CMFLIM10,0.670152097,0.5319355,2.865278,9654.615641,0.691247534,0.612,3.1319685,7755.659618,0.702102602,0.652575,2.967843,4155.655596,0.707639839,0.591054,2.893558,6127.973165,0.694830799,0.6504395,2.9734775,6713.379044,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal5,9,DR,5,CMFLIM12,0.673098352,0.564454,2.7016575,15988.7325,0.671249091,0.5623325,2.9166075,6445.068073,0.753539836,0.5992625,2.7511945,6266.015203,0.715348982,0.6094925,2.5719795,5180.710015,0.749317674,0.5719485,2.493197,7611.730349,0.676665563,0.6292765,2.9173435,2799.166465
CMFLIM10 Day9 DR Animal6,9,DR,6,CMFLIM10,0.612068827,0.643183,3.0256285,12260.63666,0.626199697,0.590502,3.004597,4580.012106,0.709253824,0.5630265,2.637911,5113.63203,0.748130206,0.589043,2.80623,3216.927411,0.668267269,0.68353,2.7440615,4461.425954,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal6,9,DR,6,CMFLIM12,0.643951452,0.6808935,2.835059,9025.788696,0.648470211,0.617317,2.8396685,10179.94825,0.752463183,0.649901,2.78908,7253.602427,0.744190175,0.6233395,2.767652,9800.669871,0.742283298,0.551709,2.3732265,13822.11051,0.706255859,0.564465,2.8056285,3681.19946
CMFLIM10 Day9 DR Animal7,9,DR,7,CMFLIM10,0.609262696,0.6589175,3.938742,9562.581657,0.664042087,0.616717,2.9489215,9983.316228,0.720458413,0.667164,3.538504,3614.445534,0.698528712,0.6418555,2.9493985,10755.5174,0.661378511,0.744489,3.21914,8917.949883,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal7,9,DR,7,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.649794259,0.580089,2.9361895,6003.680514,0.757077931,0.5910655,2.7315965,5001.799061,0.758065214,0.618386,2.8272265,4680.288719,0.669629503,0.624162,2.4723065,5247.628007,0.692870915,0.6192485,2.9554985,4536.877252
CMFLIM10 Day9 DR Animal8,9,DR,8,CMFLIM10,0.623690796,0.658728,3.3190635,17812.96094,0.629658452,0.6710765,2.92367,9647.419081,0.666116692,0.668117,3.3662965,14542.59302,0.752423921,0.6278105,2.9479165,6873.753151,0.727755486,0.5998465,2.697592,8032.653083,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day9 DR Animal8,9,DR,8,CMFLIM12,0.760059658,0.5490115,2.685018,17446.42906,0.621605296,0.610663,2.8104525,5783.064541,0.759660765,0.5893175,2.657662,13087.08511,0.717203846,0.6200675,2.686266,5791.056911,0.751643465,0.6088375,2.507612,10136.97347,#N/A,#N/A,#N/A,#N/A
